word,synonyms,sentence
abandon,desert/relinquish,"The scheme's investors, fearful of
bankruptcy, decided to abandon the project.
因为担心破产，该计划的投资者决定
放弃这个项目。"
abase,,"The president is not willing to abase
himself before the nation.。
总统不愿在全国人民面前降低自己的威信."
abash,,"The girl was abashed by the laughter of her classmates.
那小姑娘因同学的哄笑而局促不安 。"
abate,mitigate,"The doctor gave him some medicine
to abate the pain.
那医生给他一些药以减轻痛苦 。"
abbreviate,,"The United States of America is
commonly abbreviated to U.S.A.
美利坚合众国常被缩略为  U.S.A.。"
abdicate,,"He abdicated all responsibility for the
care of the child.
他放弃了抚养孩子的全部责任 。"
aberrant,,
abet,instigate,"You've done enough to be charged
with attempt to aid and abet.
你所作的一切足以被控教唆犯罪 。"
abeyance,quiescence,"The question is in abeyance until we
know more about it.
问题暂时搁置，直到我们了解更多有
关情况再行研究。"
abhor,,"They abhor all forms of racial
discrimination.
他们憎恶任何形式的种族歧视 。"
abiding,,"He had an abiding love of the English countryside.
他对英国的乡村有着永久的热爱之情
。"
abject,,"Both of them died in abject poverty.
他们两人都于穷困潦倒中死去 。"
abjure,,
abnegate,,
abominate,,"All the teachers abominate cheating
in examinations.
所有教师都憎恶考试作弊 。"
aboveboard,,
abrade,,"Their gossips abraded her into restlessness.
他们的流言蜚语使她心烦意乱 。"
abreast,,"Mary ran abreast of him toward the
river.
玛丽和他并肩朝河边跑去 。"
abridge,,"Book publisher may alter or abridge
a work with the permission of the copyright owner.
图书出版者经作者许可 ,可以对作品修
改、删减。"
abrogate,,"The next prime minister could abrogate the treaty.
下一任首相可能会废除这个条约 。"
abscond,,"Unfortunately,  his partners were
crooks and absconded with the funds.
不幸的是，他的合伙人都是些骗子 ，已卷款逃之夭夭了。"
absolute,,"Mankind are the only beings who
may be said to have gained an absolute control over the production of food.
一切生物之中，只有人类达到了完全
控制食物生产的地步 。"
absolve,exonerate,"How can he be absolved of all
responsibility for the accident?
他怎么能被免去所有的事故责任呢 ？"
abstain,,"His doctor ordered him to abstain from beer and wine.
他的医生嘱咐他戒酒 。"
abstemious,austere/moderate,"Already someone trying to live well would seem eccentrically abstemious in most of the US.
美国大部分地方，那些尝试过简朴生
活的人，已经看起来象怪物了 。"
abstract,general,"His painting went through both representational  and abstract periods.
他的绘画经历了具象风格和抽象风格两个阶段。"
abstruse,esoteric/arcane/recondite,"Einstein's theory of relativity is very
abstruse.
爱因斯坦的相对论非常难懂 。"
absurd,,"It's patently absurd not to wear a
coat in such cold weather.
这么冷的天气不穿外衣 ，显然很荒唐
。"
abundant,,
abuse,misuse,"Cases of child abuse often go
unreported or ignored by uninformed citizens.
虐待儿童案件常常没人举报 ，或者为
缺乏相关知识的公民所忽略 。"
abysmal,,"The general standard of racing was abysmal.
竞赛总体水平极糟。"
accede,,"Any country of the Union which has
signed this Act may ratify it, and, if it has not signed it, may accede to it.本联盟任何国家已在本议定书上签字者，可以批准本议定书，未签字者可
以加入本议定书。"
accentuate,highlight,"Americans always look at the bright
side, whether or not there is one, and if possible accentuate the positive of every disaster.
美国人总看事情光明的一面 ，不论是否有光明的一面，而且如有可能，就
强调每场灾难的积极意义 。"
accessible,,"The director believed that program can make science more accessible to young people.
该负责人认为这项计划能让年轻人更
容易理解科学。"
accessory,,
accidental,,
acclaim,hail,"Angela Bassett has won critical
acclaim for her excellent performance.
安吉拉·贝塞特凭借其出色的表演赢得
了评论界的好评。"
acclimate,,"Jim have become acclimate to this
weather since he move here.
吉姆搬到这里后，他已适应这里的天气。"
accolade,,"His new book received accolade from the papers.
他的新书受到报纸的热烈赞扬 ."
accommodate,,"The runway of this airport is undergoing expansion to accommodate  large planes.
这个机场的跑道正在扩建以适应大型
飞机起落。"
accord,,"Old enemies can become new friends even if all their national interests are not in complete accord.即使国家利益不尽相同 ，他们也可以
化敌为友"
accrete,,"The collection of art he had accreted
was to be sold.
他经年积累的艺术收藏品将被出售 。"
accumulate,,
accustom,,
acerbic,mordant/vitriolic/caustic/cutting/scathing,"The playwright allows an acerbic
tone to pierce through  arid or flowery prose.
剧作家允许在枯燥或华丽的散文中插
入刻薄的语调。"
acme,,"His work is considered the acme of
cinematic art.
他的作品被认为是电影艺术的巅峰之
作。"
acquainted,,
acquiesce,,
acquire,,
acquisitive,,"The most acquisitive firms tend to be
engineering groups.
最贪得无厌的公司往往是工程队 。"
acrid,,
acrimonious,,
acumen,shrewdness,"His sharp business acumen meant
he quickly rose to the top.
精明的商业头脑令其青云直上 。"
acute,incisive/severe,"The war has aggravated an acute
economic crisis.
战争加剧了原本已很严重的经济危机
。"
ad-lib,,
ad hoc,,
adamant,,"American negotiators are adamant
that they will not budge on this point.
美国谈判者非常强硬 ，他们在这一点上是不会妥协的。"
adapt,,
addict,,
adhere,,"Sikhs were expected to adhere
strictly to the religious rules concerning appearance.
锡克教徒应当严格遵守该教对外表的
规定。"
adjourn,,"The trial has been adjourned until
next week.
审判延期至下周。"
adjudicate,,"A special subcommittee  adjudicates on planning applications
有一个特别小的组委会裁决规划申请
项目。"
adjunct,,"The Party was certainly not an official adjunct of the police department.
该党派肯定不是公安部门的官方附属
机构。"
admonish,scold,"My wife admonished me for taking risks with my health.
我的妻子责备我不应拿自己的健康冒险。"
adore,,"I adore him very much.
我很崇拜他。"
adulate,,
adulterate,,
adumbrate,,
adventitious,,
adversary,,
adversity,,
advert,,
advocate,,"Mr Williams is a strong advocate of
free market policies and a multi- party system.
威廉斯先生是自由市场政策和多党派
制度的坚决拥护者。"
affable,easygoing/cordial/genteel,"My boss is affable enough when she is not preoccupied with business problems.
我的老板不忙于公事的时候还是和蔼
可亲的。"
affectation,,
affinity,,"It's important that you share an affinity with your husband.
和丈夫有共同的爱好是十分重要的 。"
affirm,,"I can affirm that no one will lose their
job.
我可以肯定，谁都不会丢掉工作。"
affix,,
affliction,,
affluent,,"People's need for money has been
increasing since they have been enjoying the many benefits brought by an affluent material life.
人们享受在丰富的物质生活带来的好
处中，从而对金钱的需求越来越大 。"
agape,,
aggrandize,,"An enterprise shall not aggrandize
itself at the expense of environment.
企业不应以环境为代价增强自身的实
力。"
aggravate,exacerbate,"South Korean media said the move will further aggravate the tense situation in the peninsula.
韩国媒体称，此举将进一步加剧半岛
紧张局势。"
aggregate,,
aggressive,,
aggrieve,,"She was aggrieved at the insult.
她因被侮辱而觉得感情上受到伤害 。"
agility,,"His intellect and mental agility have
never been in doubt.
他的才智和机敏从未受到怀疑 。"
agitate,,"They sent agents to agitate the local people.
他们派遣情报人员煽动当地的民众"
agog,,"The children were all agog to hear
the story.
孩子们都渴望着要听这个故事 。"
agonize,,"If you agonize over getting the perfect answer, you won't get very far.
如果你为求得完美的答案而苦恼不
堪，那你不会有多大的成就 。"
agonize,,"If you agonize over getting the perfect answer, you won't get very far.
如果你为求得完美的答案而苦恼不
堪，那你不会有多大的成就 。"
agreeable,,"To be idle sometimes is agreeable,
but to be idle all the time might become monotonous.
一段时间空闲是令人愉快的 ，整日无
所事事可能就单调乏味了 。"
airtight,,"Store the peppercorns in an airtight container and grind the pepper as you need it.
将胡椒粒储存在密封容器中 ，在需要
的时候磨成粉。"
alacrity,,"Such books we read with resignation
rather than with alacrity.
这样的书我们是无可奈何地而不是轻
松愉快地去读的."
alibi,,
alienate,,
alienate,,
align,,
allay,,"They are trying to allay public fears
about the spread of the disease.
他们正竭力减轻公众对这种疾病传播的恐惧。"
allegiance,,"The constitution requires members of parliament to take an oath of allegiance.
宪法规定，议员必须宣誓效忠。"
alleviate,mitigate,"Tranquilizers help alleviate the
distressing symptoms of anxiety.
镇静剂有助于减轻焦虑所带来的不安
症状。"
alloy,,
allude,,"Many passages in Scripture allude
to this concept.
圣经中有许多经文间接地提到这样的概念。"
allure,charm,"The window displays allure
customers to buy goods.
橱窗陈列品引诱顾客购买商品 。"
ally,,
aloft,,
aloof,,"The Government is keeping aloof from the controversy.
政府对争论保持置身事外的态度 。"
altruism,,
amalgamate,,
ambiguous,,"This agreement is very ambiguous and open to various interpretations.
这份协议非常含糊，可以有多种解释
。"
ambivalent,,
amble,,
ambrosial,,
ameliorate,,"Nothing can be done to ameliorate
the situation.
做什么也无法使情况好转 。"
amenable,,The Jordanian leader seemed amenable to attending a conference.约旦领导人似乎愿意参加会议 。
amenity,,
amiable,,"He is an educated, amiable and decent man.
他是个有教养、和蔼可亲的正人君子
。"
amicable,agreeable,"The two countries made settlement
by amicable arrangement.
两国以友好调解解决争端 。"
amity,,
amorphous,,"The cloud image indicated
something amorphous, intangible, but still necessary to include in the diagram.
云镜像常被用来表示无固定形状的 、不清晰但又必须包含在图表中的一些
内容。"
anachronism,,
analogous,comparable,"The relationship of a teacher and his
students is analogous to that of a director and the actors.
老师和学生之间的关系就像导演和演
员之间的关系。"
anarchist,,
anathema,,"Racial prejudice is an anathema to me.
对我来说，种族歧视非常可恶。"
ancillary,,"The transport corps is ancillary to the infantry.
运输队是步兵的辅助部队 。"
anecdote,,"He introduced his speech with a
humorous anecdote.
他讲了一则幽默轶事作为讲演的引子
。"
anemic,,
anesthetic,,
animate,galvanize/rouse/inspire,"We are animate beings, living
creatures.
我们是有生命的存在 ，有生命的动物
。"
animus,hostility,"The wartime animus of the two nations subsided into mutual distrust when peace finally came.
当和平最终来临时这两个民族间战时
的敌意消退为彼此的不信任 。"
annex,,"Hitler was determined to annex Austria to Germany.
希特勒决定将奥地利并入德国 。"
annotate,,"Historians annotate, check and interpret the diary selections.
历史学家们对这本日记选集进行了注
释、检查和阐释。"
annoy,,
annul,,"Their marriage was annulled after just six months.
他们的婚姻仅过半年就宣告取消 。"
anodyne,,"Through it all, there remained an anodyne constancy about the songs.经历过风风雨雨，音乐始终是惠特妮 ·休斯顿永恒不变的止痛药 。"
anomalous,,
anonymous,obscure,"An anonymous caller told police what had happened.
有人打匿名电话向警方报告了所发生的事。"
antagonize,,
antedate,,"That event antedated World War Ⅱ.
那事件发生在第二次世界大战之前 。"
antediluvian,archaic,"His ideas are positively antediluvian.
他的思想是纯粹的老古董 。"
anterior,,
anthropogenic,,"Since the influences of industrial and anthropogenic  activities, the content of atmospheric aerosols increased obviously.
由于工业和人类活动的影响 ，大气中气溶胶含量明显增加 。"
antic,,
antipathy,,"I never overcame a visceral
antipathy for the monarchy.
我从未能够消除内心对君主政体的反感。"
antiquated,,"Many factories are so antiquated they are not worth saving.
很多工厂过于陈旧落后 ，已不值得挽
救。"
antithetical,,
apathy,passivity,"Apathy is the long-standing curse of British local democracy.
冷漠是英国地方民主制度长期以来难
以推广的祸根。"
aphorism,,"It is the aphorism of the Asian Games.
这是亚运会的格言。"
apocalyptic,,
apocryphal,,"This may well be an apocryphal
story.
这很可能是个杜撰的故事 。"
apoplectic,,
apostasy,,
apostle,,"Her mother was a dedicated apostle of healthy eating.
她母亲是健康饮食矢志不渝的倡导者
。"
appall,,
apparition,,
appeal,,"The United Nations has appealed for help from the international community.
联合国已经呼吁国际社会提供援助 。"
appealing,,
applause,,
applicable,,
apposite,fitting/germane,"She thought in both languages, and selected the most apposite phrase from either.
她用两种语言思考，然后从中选择最
贴切的一种表达。"
appreciable,,
apprehension,,
apprehensive,,
apprise,,
approbation,"adulation/
commendation","The proposal met his approbation.
这个提议获得了他的赞许 。"
appropriate,borrow,"So if you want people to get an education, maybe some sort of subsidy is appropriate.
所以如果你想要人们受教育 ，也许一定形式的补助是合适的 。"
appurtenance,,
apropos,,"Such people are ones that you turn
to for guidance, knowledge and apropos wisdom about life.
这些人是良师益友，他们指引你成为全知并充满适当的智慧去了解生命的
意义。"
apt,,"When he speaks on the air, listeners are apt to mistake him for a white man.
他在广播中的说话声会让观众以为他是白人。"
arable,,"The soil proved too infertile to
sustain real pasture or arable crops.
这土壤被证明太贫瘠 ，不能真正用作放牧或耕种作物。"
arbitrary,capricious,"It's difficult to say how likely such an
arbitrary goal might be, but green leaders and others are optimistic. 很难去说这样一个武断的目标能有多靠谱，但环保领袖们和其他一些人却
对此保持乐观。"
